model,bic,delta_bic,weight,evidence,delta_bic_pos,delta_bic_log
NGA,-23665.381919658357,-117.85417563272131,1.0,weak,117.85417563272131,2.075014444140711
gravity_only,-23547.527744025636,0.0,2.5603004156877337e-26,weak,0.0,0.0
