JD_TDB,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d,r_au
2460735.5,1.955976178180657,-8.396731874364173,0.4643110875533936,-0.01371498336199215,0.03161570573602142,-0.001415041651971247,8.634033458679582
2460736.5,1.942260744473618,-8.365114238283567,0.4628959388041974,-0.01371588475492266,0.03161957162225472,-0.001415256160810165,8.600103817351224
2460737.5,1.928544407262994,-8.333492720661923,0.4614805745989354,-0.01371679037133086,0.03162346888193916,-0.001415472568171938,8.5661746875045
2460738.5,1.914827162318659,-8.301867289933073,0.4600649930268368,-0.01371770022466602,0.03162739790170127,-0.001415690898591336,8.532246091095992
2460739.5,1.901109005396536,-8.270237914140704,0.4586491921524815,-0.01371861432942262,0.0316313590751378,-0.001415911176832029,8.498318050552847
2460740.5,1.887389932237444,-8.238604560931531,0.4572331700155649,-0.01371953270133302,0.03163535280258706,-0.001416133427904918,8.464390588782843
2460741.5,1.873669938565816,-8.20696719754866,0.4558169246306338,-0.01372045535744726,0.0316393794908529,-0.001416357677101109,8.430463729185048
2460742.5,1.859949020088386,-8.175325790825289,0.4544004539867868,-0.01372138231608894,0.03164343955292432,-0.001416583950036981,8.396537495661189
2460743.5,1.846227172492993,-8.143680307178629,0.4529837560473194,-0.01372231359669412,0.03164753340773391,-0.001416812272707299,8.36261191262773
2460744.5,1.832504391447585,-8.112030712604069,0.4515668287493225,-0.01372324921955612,0.03165166147999049,-0.001417042671541262,8.32868700502865
2460745.5,1.818780672599519,-8.080376972669423,0.4501496700032156,-0.01372418920550872,0.03165582420010869,-0.001417275173456776,8.294762798348838
2460746.5,1.805056011575191,-8.048719052509245,0.4487322776922367,-0.01372513357558497,0.03166002200424198,-0.001417509805908935,8.260839318628097
2460747.5,1.791330403980003,-8.017056916818994,0.4473146496718814,-0.01372608235068407,0.0316642553344139,-0.001417746596930234,8.22691659247555
2460748.5,1.777603845398652,-7.985390529849106,0.445896783769313,-0.01372703555127197,0.03166852463872868,-0.001417985575161681,8.192994647084523
2460749.5,1.763876331395692,-7.953719855398746,0.4444786777827383,-0.01372799319713238,0.03167283037164245,-0.001418226769874807,8.159073510247696
2460750.5,1.750147857516316,-7.922044856809326,0.4430603294807711,-0.01372895530717233,0.03167717299427018,-0.001418470210986295,8.125153210372568
2460751.5,1.736418419287311,-7.890365496957683,0.4416417366017837,-0.01372992189928396,0.03168155297471035,-0.001418715929066503,8.091233776497202
2460752.5,1.722688012218116,-7.858681738248917,0.4402228968532463,-0.01373089299025348,0.03168597078837092,-0.001418963955344116,8.057315238306174
2460753.5,1.708956631801962,-7.826993542608943,0.4388038079110738,-0.01373186859570969,0.03169042691828673,-0.001419214321708406,8.023397626146872
2460754.5,1.695224273517038,-7.795300871476695,0.4373844674189578,-0.01373284873010162,0.03169492185542144,-0.001419467060710662,7.989480971045995
2460755.5,1.681490932827678,-7.763603685796062,0.4359648729877086,-0.01373383340669639,0.03169945609895233,-0.001419722205565741,7.95556530472644
2460756.5,1.667756605185533,-7.731901946007538,0.4345450221945888,-0.01373482263758866,0.03170403015653715,-0.001419979790154647,7.921650659624496
2460757.5,1.654021286030743,-7.700195612039607,0.433124912582646,-0.01373581643371629,0.0317086445445654,-0.001420239849028402,7.887737068907441
2460758.5,1.640284970793077,-7.668484643299906,0.431704541660036,-0.01373681480487636,0.03171329978839621,-0.001420502417413629,7.85382456649154
2460759.5,1.626547654893077,-7.636768998666133,0.4302839068993523,-0.01373781775973924,0.03171799642258625,-0.00142076753121978,7.819913187060511
2460760.5,1.612809333743168,-7.605048636476729,0.42886300573693,-0.01373882530585798,0.03172273499111009,-0.001421035227048104,7.786002966084418
2460761.5,1.599070002748784,-7.573323514521375,0.4274418355721551,-0.01373983744967187,0.03172751604757636,-0.001421305542202099,7.752093939839138
2460762.5,1.585329657309473,-7.541593590031224,0.4260203937667532,-0.01374085419650371,0.03173234015544152,-0.001421578514699574,7.71818614542628
2460763.5,1.571588292820025,-7.509858819668967,0.4245986776440684,-0.01374187555055043,0.0317372078882238,-0.001421854183285917,7.684279620793729
2460764.5,1.557845904671602,-7.478119159518656,0.4231766844883312,-0.01374290151486733,0.03174211982971876,-0.001422132587448645,7.650374404756713
2460765.5,1.54410248825289,-7.446374565075314,0.4217544115439056,-0.0137439320913461,0.03174707657421767,-0.001422413767433007,7.616470537019499
2460766.5,1.530358038951275,-7.414624991234337,0.4203318560145264,-0.01374496728068709,0.03175207872673022,-0.001422697764258608,7.582568058197712
2460767.5,1.516612552154056,-7.382870392280654,0.4189090150625124,-0.01374600708236616,0.03175712690321205,-0.001422984619736912,7.548667009841285
2460768.5,1.502866023249679,-7.351110721877671,0.4174858858079705,-0.0137470514945965,0.03176222173079799,-0.001423274376489583,7.514767434458102
2460769.5,1.489118447629028,-7.319345933055969,0.4160624653279679,-0.01374810051428578,0.03176736384804152,-0.001423567077967641,7.480869375538301
2460770.5,1.475369820686753,-7.287575978201763,0.4146387506557027,-0.01374915413698905,0.03177255390516077,-0.001423862768471319,7.4469728775793165
2460771.5,1.461620137822645,-7.255800809045112,0.4132147387796367,-0.01375021235685733,0.03177779256429173,-0.001424161493170665,7.413077986111647
2460772.5,1.447869394443069,-7.224020376647875,0.4117904266426186,-0.01375127516658246,0.03178308049974866,-0.00142446329812683,7.3791847477253985
2460773.5,1.434117585962453,-7.192234631391394,0.4103658111409835,-0.01375234255733826,0.03178841839829206,-0.001424768230314066,7.345293210097598
2460774.5,1.420364707804833,-7.160443522963913,0.4089408891236209,-0.01375341451871793,0.03179380695940447,-0.001425076337642373,7.311403422020328
2460775.5,1.406610755405474,-7.128647000347715,0.4075156573910395,-0.01375449103866809,0.03179924689557449,-0.00142538766898087,7.277515433429714
2460776.5,1.392855724212544,-7.096845011805967,0.4060901126943836,-0.01375557210341914,0.03180473893258854,-0.001425702274181884,7.24362929543575
2460777.5,1.379099609688868,-7.065037504869281,0.4046642517344461,-0.01375665769741226,0.03181028380983209,-0.001426020204105678,7.209745060353059
