JD_TDB,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d,ax_au_d2,ay_au_d2,az_au_d2,r_au
2460739.5,-0.06624986523226067,-32.36167306323679,-19.38211419316616,0.001087521379352827,-0.01668873644487438,-0.00913319763778796,0.0,0.0,0.0,37.72199123977156
2460740.5,-0.06516234369560485,-32.37836171645905,-19.39124733735272,0.00108752170858008,-0.01668857002156809,-0.009133090754934545,0.0,0.0,0.0,37.74099928289241
2460741.5,-0.06407482178609882,-32.39505020332223,-19.40038037471508,0.001087522124757953,-0.01668840372517558,-0.009132983989231585,0.0,0.0,0.0,37.76000717614053
2460742.5,-0.06298729941794404,-32.41173852394871,-19.40951330536989,0.001087522625320968,-0.01668823754671283,-0.009132877339654151,0.0,0.0,0.0,37.779014919609004
2460743.5,-0.06189977650866208,-32.42842667845218,-19.41864612943273,0.001087523206226758,-0.01668807147783639,-0.009132770805092432,0.0,0.0,0.0,37.798022513383074
2460744.5,-0.06081225298046036,-32.44511466693842,-19.42777884701804,0.001087523862191375,-0.01668790551114378,-0.009132664384397788,0.0,0.0,0.0,37.81702995754078
2460745.5,-0.05972472876132944,-32.46180248950643,-19.43691145823911,0.001087524586984816,-0.01668773964038018,-0.009132558076426706,0.0,0.0,0.0,37.83603725215391
2460746.5,-0.05863720378582984,-32.47849014624948,-19.4460439632081,0.001087525373750567,-0.01668757386054459,-0.009132451880078716,0.0,0.0,0.0,37.85504439728891
2460747.5,-0.0575496779955614,-32.49517763725657,-19.45517636203612,0.0010875262153159,-0.01668740816790211,-0.009132345794325793,0.0,0.0,0.0,37.87405139300819
2460748.5,-0.05646215133933811,-32.5118649626135,-19.4643086548333,0.001087527104467382,-0.01668724255991885,-0.009132239818232251,0.0,0.0,0.0,37.893058239371065
2460749.5,-0.05537462377311164,-32.52855212240413,-19.47344084170886,0.001087528034175815,-0.01668707703514129,-0.00913213395096549,0.0,0.0,0.0,37.91206493643488
2460750.5,-0.05428709525969837,-32.54523911671134,-19.48257292277127,0.001087528997764249,-0.01668691159304257,-0.009132028191798749,0.0,0.0,0.0,37.93107148425589
2460751.5,-0.05319956576836652,-32.56192594561784,-19.49170489812829,0.001087529989020295,-0.01668674623385526,-0.009131922540107746,0.0,0.0,0.0,37.95007788289
2460752.5,-0.05211203527433635,-32.57861260920695,-19.50083676788713,0.001087531002259116,-0.01668658095840659,-0.009131816995362889,0.0,0.0,0.0,37.96908413239351
2460753.5,-0.05102450375823827,-32.59529910756299,-19.50996853215452,0.001087532032346165,-0.0166864157679663,-0.009131711557118938,0.0,0.0,0.0,37.988090232823495
2460754.5,-0.04993697120556431,-32.61198544077175,-19.51910019103674,0.001087533074689508,-0.0166862506641139,-0.00913160622500339,0.0,0.0,0.0,38.00709618423818
2460755.5,-0.04884943760613846,-32.62867160892067,-19.52823174463979,0.001087534125210969,-0.01668608564862755,-0.009131500998704701,0.0,0.0,0.0,38.026101986697206
2460756.5,-0.04776190295362321,-32.64535761209908,-19.53736319306934,0.001087535180303998,-0.01668592072339493,-0.009131395877961133,0.0,0.0,0.0,38.04510764026184
2460757.5,-0.04667436724507206,-32.66204345039819,-19.54649453643083,0.001087536236784616,-0.0166857558903444,-0.009131290862550578,0.0,0.0,0.0,38.06411314499494
2460758.5,-0.04558683048053264,-32.67872912391114,-19.55562577482949,0.001087537291840034,-0.01668559115139391,-0.009131185952281644,0.0,0.0,0.0,38.08311850096112
2460759.5,-0.04449929266270083,-32.69541463273297,-19.56475690837038,0.001087538342978146,-0.0166854265084149,-0.00913108114698605,0.0,0.0,0.0,38.1021237082266
2460760.5,-0.04341175379662419,-32.71209997696056,-19.5738879371584,0.001087539387980356,-0.01668526196320828,-0.009130976446512314,0.0,0.0,0.0,38.12112876685928
2460761.5,-0.04232421388945033,-32.72878515669255,-19.5830188612983,0.00108754042485834,-0.01668509751748996,-0.009130871850720578,0.0,0.0,0.0,38.14013367692863
2460762.5,-0.04123667295021614,-32.74547017202925,-19.59214968089469,0.001087541451815743,-0.01668493317288354,-0.009130767359478476,0.0,0.0,0.0,38.15913843850559
2460763.5,-0.04014913098967307,-32.76215502307254,-19.60128039605206,0.001087542467214824,-0.01668476893091855,-0.009130662972657931,0.0,0.0,0.0,38.17814305166257
2460764.5,-0.03906158802014303,-32.77883970992578,-19.61041100687477,0.001087543469547818,-0.0166846047930322,-0.009130558690132646,0.0,0.0,0.0,38.19714751647329
2460765.5,-0.03797404405540114,-32.79552423269374,-19.61954151346705,0.001087544457412491,-0.01668444076057403,-0.009130454511776222,0.0,0.0,0.0,38.21615183301272
2460766.5,-0.03688649911058055,-32.8122085914825,-19.628671915933,0.001087545429491901,-0.0166842768348122,-0.009130350437460818,0.0,0.0,0.0,38.23515600135707
2460767.5,-0.03579895320209592,-32.82889278639933,-19.63780221437661,0.001087546384537345,-0.01668411301694055,-0.009130246467056163,0.0,0.0,0.0,38.25416002158363
2460768.5,-0.03471140634758245,-32.84557681755272,-19.64693240890171,0.001087547321354429,-0.01668394930808647,-0.009130142600428904,0.0,0.0,0.0,38.273163893770786
2460769.5,-0.03362385856584737,-32.8622606850522,-19.65606249961201,0.001087548238791707,-0.0166837857093187,-0.009130038837442204,0.0,0.0,0.0,38.29216761799788
2460770.5,-0.03253630987683188,-32.87894438900839,-19.66519248661109,0.001087549135731314,-0.01668362222165494,-0.009129935177955514,0.0,0.0,0.0,38.311171194345285
2460771.5,-0.0314487603015814,-32.89562792953287,-19.67432237000238,0.001087550011081583,-0.01668345884606937,-0.009129831621824507,0.0,0.0,0.0,38.33017462289421
2460772.5,-0.03036120986222248,-32.9123113067382,-19.68345214988915,0.001087550863771047,-0.01668329558349951,-0.009129728168901098,0.0,0.0,0.0,38.34917790372679
2460773.5,-0.02927365858194505,-32.92899452073785,-19.69258182637453,0.001087551692743658,-0.01668313243485289,-0.009129624819033552,0.0,0.0,0.0,38.36818103692598
2460774.5,-0.02818610648498898,-32.94567757164617,-19.70171139956152,0.00108755249695509,-0.01668296940101298,-0.00912952157206665,0.0,0.0,0.0,38.38718402257557
2460775.5,-0.02709855359663387,-32.96236045957843,-19.71084086955291,0.001087553275369758,-0.01668280648284483,-0.009129418427841885,0.0,0.0,0.0,38.40618686076012
2460776.5,-0.02601099994319147,-32.97904318465071,-19.71997023645138,0.001087554026958567,-0.01668264368120023,-0.009129315386197682,0.0,0.0,0.0,38.42518955156504
2460777.5,-0.02492344555200018,-32.99572574697996,-19.72909950035944,0.001087554750697125,-0.01668248099692229,-0.009129212446969648,0.0,0.0,0.0,38.44419209507643
2460778.5,-0.02383589045142101,-33.01240814668395,-19.7382286613794,0.001087555445564388,-0.01668231843084993,-0.009129109609990806,0.0,0.0,0.0,38.46319449138121
2460779.5,-0.02274833467083477,-33.02909038388133,-19.74735771961345,0.001087556110541609,-0.01668215598382173,-0.009129006875091855,0.0,0.0,0.0,38.482196740567055
2460780.5,-0.02166077824064024,-33.04577245869156,-19.75648667516356,0.001087556744611528,-0.01668199365667972,-0.009128904242101414,0.0,0.0,0.0,38.501198842722374
2460781.5,-0.02057322119225296,-33.06245437123494,-19.76561552813157,0.00108755734675774,-0.01668183145027281,-0.009128801710846277,0.0,0.0,0.0,38.52020079793638
2460782.5,-0.01948566355810467,-33.07913612163264,-19.77474427861911,0.001087557915964183,-0.01668166936546006,-0.009128699281151663,0.0,0.0,0.0,38.539202606299014
2460783.5,-0.01839810537164321,-33.09581771000668,-19.78387292672767,0.001087558451214721,-0.01668150740311385,-0.009128596952841444,0.0,0.0,0.0,38.55820426790103
2460784.5,-0.0173105466673327,-33.11249913647999,-19.79300147255852,0.001087558951492771,-0.01668134556412294,-0.009128494725738418,0.0,0.0,0.0,38.57720578283396
2460785.5,-0.01622298748065424,-33.12918040117636,-19.80212991621282,0.001087559415781022,-0.01668118384939549,-0.009128392599664538,0.0,0.0,0.0,38.59620715119015
2460786.5,-0.01513542784810671,-33.14586150422051,-19.81125825779147,0.001087559843061074,-0.01668102225986212,-0.009128290574441183,0.0,0.0,0.0,38.615208373062735
2460787.5,-0.01404786780720805,-33.16254244573812,-19.82038649739526,0.001087560232313195,-0.01668086079647909,-0.009128188649889407,0.0,0.0,0.0,38.63420944854574
2460788.5,-0.01296030739649672,-33.17922322585584,-19.82951463512475,0.001087560582516056,-0.01668069946023153,-0.009128086825830236,0.0,0.0,0.0,38.65321037773404
2460789.5,-0.01187274665553338,-33.19590384470131,-19.83864267108035,0.001087560892646519,-0.016680538252137,-0.00912798510208496,0.0,0.0,0.0,38.67221116072339
2460790.5,-0.01078518562490283,-33.21258430240319,-19.8477706053623,0.001087561161679458,-0.01668037717324925,-0.00912788347847547,0.0,0.0,0.0,38.691211797610464
2460791.5,-0.009697624346215924,-33.22926459909124,-19.85689843807062,0.001087561388587621,-0.01668021622466228,-0.009127781954824611,0.0,0.0,0.0,38.71021228849291
2460792.5,-0.008610062862112019,-33.24594473489633,-19.8660261693052,0.001087561572342023,-0.01668005540751491,-0.009127680530956653,0.0,0.0,0.0,38.72921263346936
2460793.5,-0.007522501216260112,-33.26262470995047,-19.87515379916574,0.001087561711911681,-0.01667989472299579,-0.009127579206697682,0.0,0.0,0.0,38.74821283263945
2460794.5,-0.006434939453360938,-33.27930452438694,-19.88428132775175,0.001087561806264493,-0.01667973417234896,-0.00912747798187621,0.0,0.0,0.0,38.76721288610394
2460795.5,-0.005347377619147501,-33.29598417834023,-19.89340875516258,0.001087561854368216,-0.01667957375688017,-0.009127376856323812,0.0,0.0,0.0,38.78621279396468
2460796.5,-0.004259815760384584,-33.31266367194622,-19.90253608149743,0.001087561855191814,-0.01667941347796381,-0.009127275829875861,0.0,0.0,0.0,38.80521255632473
2460797.5,-0.003172253924866082,-33.32934300534216,-19.91166330685531,0.001087561807707301,-0.01667925333705105,-0.009127174902372415,0.0,0.0,0.0,38.82421217328838
2460798.5,-0.002084692161412292,-33.34602217866683,-19.92079043133511,0.001087561710894178,-0.01667909333567757,-0.009127074073659298,0.0,0.0,0.0,38.84321164496126
2460799.5,-0.000997130519857746,-33.36270119206057,-19.92991745503551,0.001087561563741524,-0.01667893347547471,-0.009126973343589246,0.0,0.0,0.0,38.86221097145038
2460800.5,9.043094895913335e-05,-33.37938004566541,-19.93904437805512,0.001087561365254788,-0.01667877375817951,-0.00912687271202341,0.0,0.0,0.0,38.88121015286426
2460801.5,0.001177992193216608,-33.39605873962518,-19.94817120049235,0.001087561114463472,-0.01667861418564616,-0.009126772178833033,0.0,0.0,0.0,38.900209189313024
2460802.5,0.002265553160138435,-33.41273727408562,-19.95729792244554,0.001087560810430756,-0.01667845475985894,-0.009126671743901454,0.0,0.0,0.0,38.91920808090846
2460803.5,0.003353113796033545,-33.42941564919452,-19.96642454401288,0.001087560452265881,-0.01667829548294677,-0.009126571407126477,0.0,0.0,0.0,38.93820682776421
2460804.5,0.004440674046349383,-33.4460938651019,-19.97555106529248,0.001087560039140739,-0.01667813635719392,-0.009126471168422808,0.0,0.0,0.0,38.95720542999588
2460805.5,0.005528233855745247,-33.4627719219601,-19.98467748638239,0.001087559570309857,-0.01667797738505827,-0.00912637102772545,0.0,0.0,0.0,38.976203887721155
2460806.5,0.006615793168186611,-33.4794498199241,-19.99380380738058,0.001087559045136157,-0.01667781856918334,-0.009126270984993096,0.0,0.0,0.0,38.99520220106008
2460807.5,0.007703351927068824,-33.49612755915151,-20.00293002838503,0.001087558463122051,-0.01667765991241086,-0.009126171040212057,0.0,0.0,0.0,39.01420037013508
2460808.5,0.008790910075374494,-33.51280513980297,-20.01205614949367,0.001087557823946784,-0.01667750141778895,-0.009126071193400408,0.0,0.0,0.0,39.03319839507124
2460809.5,0.009878467555872851,-33.52948256204222,-20.0211821708045,0.001087557127512188,-0.01667734308857912,-0.00912597144461282,0.0,0.0,0.0,39.052196275996494
2460810.5,0.01096602431136788,-33.54615982603642,-20.03030809241559,0.001087556373995856,-0.01667718492825441,-0.00912587179394532,0.0,0.0,0.0,39.07119401304187
2460811.5,0.01205358028500418,-33.56283693195624,-20.03943391442514,0.001087555563911984,-0.01667702694048871,-0.009125772241540086,0.0,0.0,0.0,39.09019160634156
2460812.5,0.01314113542063726,-33.57951387997619,-20.0485596369315,0.001087554698180308,-0.01667686912913326,-0.009125672787589866,0.0,0.0,0.0,39.10918905603327
